correction_id,project_id,source_group_id,company_project_code,project_name,old_latitude,old_longitude,new_latitude,new_longitude,coordinate_verification_status,coordinate_verified_by,coordinate_verified_at,original_user_value,supersedes_source,notes
COR-000001,PRJ-000003,GRP016,FBL-002,13 Hari Baral,28.226111,84.051389,28.2181667,84.0382222,VERIFIED,Fabin Gurung,2026-08-04,"28°13'05.4""N 84°02'17.6""E",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000002,PRJ-000008,GRP001,FBL-007,Basketball Court,28.2178201,83.9805123,28.2257095,83.9821248,VERIFIED,Fabin Gurung,2026-08-04,"(28.2257095, 83.9821248)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000003,PRJ-000009,GRP002,FBL-008,Chautara Landscaping,28.2181504,83.9810456,28.2276034,83.9844513,VERIFIED,Fabin Gurung,2026-08-04,"(28.2276034, 83.9844513)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000004,PRJ-000010,GRP003,FBL-009,Ward No. 4 Office Front Drain,28.2184912,83.9814231,28.2271493,83.9851520,VERIFIED,Fabin Gurung,2026-08-04,"(28.2271493, 83.9851520)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000005,PRJ-000011,GRP004,FBL-010,Firke Pool Road and Drain Works,28.2190345,83.9820112,28.2283378,83.9817348,VERIFIED,Fabin Gurung,2026-08-04,"(28.2283378, 83.9817348)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000006,PRJ-000012,GRP007,FBL-011,Gyan Marga Road Work,28.219512,83.9825441,28.2285729,83.9863023,VERIFIED,Fabin Gurung,2026-08-04,"(28.2285729, 83.9863023)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000007,PRJ-000013,GRP008,FBL-012,"Red Cross Flagstone Pavement, Metal Door and Stone Cladding Works",28.2145321,83.9782109,28.2179568,83.9764690,VERIFIED,Fabin Gurung,2026-08-04,"(28.2179568, 83.9764690)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000008,PRJ-000014,GRP009,FBL-013,"Shree Sansarimai Mandir Truss, Brickwork and RCC Slab Works",28.2150211,83.978832,28.2189403,83.9785772,VERIFIED,Fabin Gurung,2026-08-04,"(28.2189403, 83.9785772)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000009,PRJ-000015,GRP010,FBL-014,Parshyang Paver Work,28.2155412,83.9792105,28.2232024,83.9788233,VERIFIED,Fabin Gurung,2026-08-04,"(28.2232024, 83.9788233)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000010,PRJ-000017,GRP012,FBL-016,Temple Himalaya Hotel and Spa Renovation,28.20315,83.98421,28.2086944,83.9596389,VERIFIED,Fabin Gurung,2026-08-04,"28°12'31.3""N 83°57'34.7""E",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000011,PRJ-000018,GRP013,FBL-017,"Prithvi Mandi Septic Tank, Public Toilet and Boundary Wall Construction",28.2062301,83.986412,28.2114489,83.9915658,VERIFIED,Fabin Gurung,2026-08-04,"(28.2114489, 83.9915658)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000012,PRJ-000019,GRP015,FBL-018,Matepani Plastic Dai Project,28.210541,83.987152,28.2154589,84.0053933,VERIFIED,Fabin Gurung,2026-08-04,"(28.2154589, 84.0053933)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000013,PRJ-000021,GRP018,FBL-020,New Airport Restroom Construction,28.1889123,83.9856301,28.1902064,84.0112143,VERIFIED,Fabin Gurung,2026-08-04,"(28.1902064, 84.0112143)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
COR-000014,PRJ-000022,GRP019,FBL-021,New Airport Petty Works — 2025-08-22,28.1892105,83.9860214,28.1897729,84.0148618,VERIFIED,Fabin Gurung,2026-08-04,"(28.1897729, 84.0148618)",imports/photo-groups-2026-08-02/source_groups_resolved.csv,"Coordinate verification applies only to latitude and longitude; it does not verify contractor, funding, status, ward, classification, or the full project record."
