publication_setting_id,project_id,show_project_name,show_coordinates,show_status,show_ward_number,show_project_sector,show_implementation_method,show_legal_contractor,show_executing_company_role,show_general_work_summary,contract_amount_visibility,material_quantities_visibility,remarks
PPS-000001,PRJ-000001,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000002,PRJ-000002,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000003,PRJ-000003,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000004,PRJ-000004,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000005,PRJ-000005,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000006,PRJ-000006,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000007,PRJ-000007,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000008,PRJ-000008,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000009,PRJ-000009,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000010,PRJ-000010,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000011,PRJ-000011,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000012,PRJ-000012,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000013,PRJ-000013,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000014,PRJ-000014,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000015,PRJ-000015,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000016,PRJ-000016,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000017,PRJ-000017,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000018,PRJ-000018,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000019,PRJ-000019,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000020,PRJ-000020,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000021,PRJ-000021,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000022,PRJ-000022,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000023,PRJ-000023,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000024,PRJ-000024,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000025,PRJ-000025,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000026,PRJ-000026,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000027,PRJ-000027,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
PPS-000028,PRJ-000028,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,SELECTABLE,SELECTABLE,User-approved public project settings
