source_group_id,source_sn,source_group_name,latitude,longitude,source_status,awarded_company_raw
GRP001,1,Photo_04_Basketball Court,28.2178201,83.9805123,Completed,Fishtail Builders Pvt Ltd
GRP002,2,Photo_04_Chautara,28.2181504,83.9810456,Completed,Fishtail Builders Pvt Ltd
GRP003,3,Photo_04_Drain,28.2184912,83.9814231,Completed,Fishtail Builders Pvt Ltd
GRP004,4,Photo_04_Firke Pool Road + Drain,28.2190345,83.9820112,Completed,Fishtail Builders Pvt Ltd
GRP005,5,Photo_04_Fishtail Builders,,,Null,
GRP006,6,Photo_04_Fishtail Builders Office,28.2193210,83.9823105,Completed,Fishtail Builders Pvt Ltd
GRP007,7,Photo_04_Gyan marga,28.2195120,83.9825441,Completed,Fishtail Builders Pvt Ltd
GRP008,8,Photo_05_Redcross,28.2145321,83.9782109,Completed,Fishtail Builders Pvt Ltd
GRP009,9,Photo_05_Temple,28.2150211,83.9788320,Completed,Fishtail Builders Pvt Ltd
GRP010,10,Photo_05_Uncle Paver,28.2155412,83.9792105,Completed,Fishtail Builders Pvt Ltd
GRP011,11,Photo_06_Old airport,28.2003120,83.9821450,Completed,Fishtail Builders Pvt Ltd
GRP012,12,Photo_06_Temple Himalayan...,28.2031500,83.9842100,Completed,Fishtail Builders Pvt Ltd
GRP013,13,Photo_09_Prithivi mandi,28.2062301,83.9864120,Completed,Fishtail Builders Pvt Ltd
GRP014,14,Photo_09_Suke plain,,,Completed,Fishtail Builders Pvt Ltd
GRP015,15,Photo_12_Matepani plastic,,,Approval Phase,Fishtail Builders Pvt Ltd
GRP016,16,Photo_13_Hari Baral,,,Ongoing,Fishtail Builders Pvt Ltd
GRP017,17,Photo_14_Kharika Paudel,,,Ongoing,Fishtail Builders Pvt Ltd
GRP018,18,Photo_14_New Airport_Restroom,28.1889123,83.9856301,Completed,Fishtail Builders Pvt Ltd
GRP019,19,Photo_14_New airport_Petty works_2025_08_22,28.1892105,83.9860214,Completed,Fishtail Builders Pvt Ltd
GRP020,20,Photo_15_Narayani Parajuli,,,Approval Phase,Fishtail Builders Pvt Ltd
GRP021,21,Photo_16_Yamuna Pun Adai,,,Completed,Fishtail Builders Pvt Ltd
GRP022,22,Photo 20_Bhalam Road 28m,28.2612683,83.9939108,Completed,Fishtail Builders Pvt Ltd
GRP023,23,Photo_20_Bhalam 200m road_part 1,28.2634812,83.9952104,Completed,Fishtail Builders Pvt Ltd
GRP024,24,Photo_20_Bhalam 200m road_part 2,28.2641125,83.9956842,Completed,Fishtail Builders Pvt Ltd
GRP025,25,Photo_20_Bhalam 200m road_part 3,28.2647438,83.9961580,Completed,Fishtail Builders Pvt Ltd
GRP026,26,Photo_20_Bhalam River_phase 1,28.2709282,83.9991316,Completed,Fishtail Builders Pvt Ltd
GRP027,27,Photo_20_Bhalam River_gabian mesh (phase 2),28.2709282,83.9991316,Completed,Fishtail Builders Pvt Ltd
GRP028,28,Photo_26_Bachi and Ama Foundation,,,Not Awarded,N/A
GRP029,29,Photo_Enterprise,,,Null,
GRP030,30,Photo_Fabin Gurung,,,Null,
GRP031,31,Photo_20_Bhalam park_phase 1,28.2612297,83.9939523,Completed,Fishtail Builders Pvt Ltd
GRP032,32,Photo_20_Bhalam park_phase 2,28.2612297,83.9939523,Completed,Fishtail Builders Pvt Ltd
