project_party_id,project_id,party_entity_type,party_id,role,is_primary,start_date,end_date,remarks,is_public,data_quality_status,source_reference
PPA-000001,PRJ-000001,ORGANIZATION,ORG-000002,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 2
PPA-000002,PRJ-000002,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 3
PPA-000003,PRJ-000003,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 4
PPA-000004,PRJ-000004,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 5
PPA-000005,PRJ-000005,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 6
PPA-000006,PRJ-000006,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 7
PPA-000007,PRJ-000007,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Migrated from the v1.1.0 contractor field.,TRUE,VALID,v1.1.0 projects.csv row 8
PPA-000008,PRJ-000008,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000009,PRJ-000009,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000010,PRJ-000010,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000011,PRJ-000011,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000012,PRJ-000012,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000013,PRJ-000013,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000014,PRJ-000014,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000015,PRJ-000015,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000016,PRJ-000016,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000017,PRJ-000017,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000018,PRJ-000018,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,User Committee project; temporary Fishtail Builders main contractor placeholder pending legal verification,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000019,PRJ-000019,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000020,PRJ-000020,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000021,PRJ-000021,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000022,PRJ-000022,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000023,PRJ-000023,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000024,PRJ-000024,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000025,PRJ-000025,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000026,PRJ-000026,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000027,PRJ-000027,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
PPA-000028,PRJ-000028,ORGANIZATION,ORG-000001,CONTRACTOR,TRUE,,,Temporary main contractor assignment; replace when legal contractor is verified,TRUE,WARNING,imports/photo-groups-2026-08-02/source_groups_resolved.csv
